Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r0003	GLC  <=> bDGLC 	OAory_01028140 or OAory_01079580 or OAory_01101650	-1000.00	1000.00	  0.00
r0004	GLC + ATP  -> ADP + G6P 	OAory_01013110 or OAory_01013790 or OAory_01053950 or OAory_01071180 or OAory_01075150 or OAory_01108740	  0.00	1000.00	  0.00
r0005	ATP + bDGLC  -> ADP + bDG6P 	OAory_01013110 or OAory_01013790 or OAory_01071180 or OAory_01108740	  0.00	1000.00	  0.00
r0006	G6P  <=> F6P 	OAory_01092830	-1000.00	1000.00	  0.00
r0007	F6P  <=> bDG6P 	OAory_01092830	-1000.00	1000.00	  0.00
r0008	G6P  <=> bDG6P 	OAory_01092830	-1000.00	1000.00	  0.00
r0009	ATP + F6P  -> ADP + FDP 	OAory_01041240 or OAory_01054910	  0.00	1000.00	  0.00
r0010	FDP  <=> T3P1 + T3P2 	OAory_01018340 or OAory_01041800 or OAory_01050960 or OAory_01052960 or OAory_01060380 or OAory_01107450	-1000.00	1000.00	  0.00
r0011	T3P1  <=> T3P2 	OAory_01033650 or OAory_01068080	-1000.00	1000.00	  0.00
r0012	T3P1 + NAD + PI  <=> 13PDG + NADH 	OAory_01055530 or OAory_01090800 or OAory_01099870	-1000.00	1000.00	  0.00
r0014	3PG  <=> 2PG 	OAory_01003010 or OAory_01070940 or OAory_01088690	-1000.00	1000.00	  0.00
r0015	2PG  <=> H2O + PEP 	OAory_01065890	-1000.00	1000.00	  0.00
r0016	ADP + PEP  -> ATP + PYR 	OAory_01000800	  0.00	1000.00	  0.00
r0017	FDP + H2O  -> F6P + PI 	OAory_01057390	  0.00	1000.00	  0.00
r0018	ATP + OA  -> ADP + CO2 + PEP 	OAory_01065010	  0.00	1000.00	  0.00
r0019	ETH + NADP  <=> ACAL + NADPH 	OAory_01002560 or OAory_01026470 or OAory_01043040 or OAory_01060160 or OAory_01102500	-1000.00	1000.00	  0.00
r0020	ETH + NAD  <=> ACAL + NADH 	OAory_01005520 or OAory_01012690 or OAory_01048490 or OAory_01054780 or OAory_01055110 or OAory_01074080 or OAory_01112540	-1000.00	1000.00	  0.00
r0022	LIPENZm + PYRm  -> CO2m + ALIPENZm 	OAory_01064060 or OAory_01080780	  0.00	1000.00	  0.00
r0023	COAm + ALIPENZm  -> ACCOAm + DLIPENZm 	OAory_01010240 or OAory_01072720	  0.00	1000.00	  0.00
r0024	DLIPENZm + NADm  -> LIPENZm + NADHm 	OAory_01091400	  0.00	1000.00	  0.00
r0027	G6P + NADP  -> D6PGL + NADPH 	OAory_01002030	  0.00	1000.00	  0.00
r0028	D6PGL + H2O  -> D6PGC 	OAory_01007270	  0.00	1000.00	  0.00
r0029	D6PGC + NADP  -> CO2 + RL5P + NADPH 	OAory_01065380 or OAory_01110120	  0.00	1000.00	  0.00
r0030	RL5P  <=> XUL5P 	OAory_01075460	-1000.00	1000.00	  0.00
r0031	RL5P  <=> R5P 	OAory_01024400	-1000.00	1000.00	  0.00
r0032	R5P + XUL5P  <=> T3P1 + S7P 	OAory_01025450 or OAory_01077260 or OAory_01105810	-1000.00	1000.00	  0.00
r0033	E4P + XUL5P  <=> F6P + T3P1 	OAory_01025450 or OAory_01077260 or OAory_01105810	-1000.00	1000.00	  0.00
r0034	F6P + E4P  <=> T3P1 + S7P 	OAory_01097780	-1000.00	1000.00	  0.00
r0038	ATP + GLCNT  -> D6PGC + ADP 	OAory_01058050	  0.00	1000.00	  0.00
r0039	R1P  <=> R5P 	OAory_01060200 or OAory_01091410 or OAory_01107650	-1000.00	1000.00	  0.00
r0041	D6PGC + H2O  <=> GLCNT + PI 	OAory_01023060 or OAory_01055430 or OAory_01058240 or OAory_01061870 or OAory_01073710 or OAory_01100120	-1000.00	1000.00	  0.00
r0044	GLCN15LACe + H2Oe  -> GLCNTe 	OAory_01018540 or OAory_01072080 or OAory_01087400	  0.00	1000.00	  0.00
r0046	PYR  -> ACAL + CO2 	OAory_01060940 or OAory_01072460 or OAory_01079120 or OAory_01089640	  0.00	1000.00	  0.00
r0047	H2O + LACAL + NAD  -> LAC + NADH 	OAory_01017030 or OAory_01026520 or OAory_01028360 or OAory_01028820 or OAory_01032080 or OAory_01050170	  0.00	1000.00	  0.00
r0048	GLAL + H2O + NAD  <=> GLYA + NADH 	OAory_01017030 or OAory_01026520 or OAory_01028360 or OAory_01028820 or OAory_01032080 or OAory_01050170	-1000.00	1000.00	  0.00
r0049	H2Om + LACALm + NADm  -> LACm + NADHm 	OAory_01017030 or OAory_01026520 or OAory_01028360 or OAory_01028820 or OAory_01032080 or OAory_01050170	  0.00	1000.00	  0.00
r0050	LGT  <=> RGT + MTHGXL 	OAory_01035880 or OAory_01065250	-1000.00	1000.00	  0.00
r0051	LGT + H2O  -> LAC + RGT 	OAory_01023880 or OAory_01068780 or OAory_01113780	  0.00	1000.00	  0.00
r0052	ACAL + H2O + NAD  -> AC + NADH 	OAory_01017030 or OAory_01026520 or OAory_01028360 or OAory_01028820 or OAory_01032080 or OAory_01050170 or OAory_01107120	  0.00	1000.00	  0.00
r0053	ACALm + H2Om + NADm  -> ACm + NADHm 	OAory_01017030 or OAory_01026520 or OAory_01028360 or OAory_01028820 or OAory_01032080 or OAory_01050170	  0.00	1000.00	  0.00
r0054	ACAL + H2O + NADP  -> AC + NADPH 	OAory_01017030 or OAory_01026520 or OAory_01028360 or OAory_01028820 or OAory_01032080 or OAory_01050170 or OAory_01051770	  0.00	1000.00	  0.00
r0057	METHOL + NAD  <=> FALD + NADH 	OAory_01005520 or OAory_01012690 or OAory_01035640 or OAory_01048490 or OAory_01054780 or OAory_01055110 or OAory_01074080 or OAory_01112540	-1000.00	1000.00	  0.00
r0058	MALm + NADPm  -> CO2m + NADPHm + PYRm 	OAory_01094490	  0.00	1000.00	  0.00
r0059	MAL + NADP  -> CO2 + NADPH + PYR 	OAory_01094490 or OAory_01102150	  0.00	1000.00	  0.00
r0060	MAL + NAD  -> CO2 + NADH + PYR 	OAory_01102150	  0.00	1000.00	  0.00
r0064	LLAC + NAD  -> NADH + PYR 	OAory_01029900 or OAory_01058040 or OAory_01070780	  0.00	1000.00	  0.00
r0065	LLACm + 2 FERIm  -> 2 FEROm + PYRm 	OAory_01007630 or OAory_01021710 or OAory_01030030 or OAory_01064220 or OAory_01075130 or OAory_01080980 or OAory_01084420	  0.00	1000.00	  0.00
r0066	LACm + 2 FERIm  -> 2 FEROm + PYRm 	OAory_01040740 or OAory_01099460 or OAory_01102060	  0.00	1000.00	  0.00
r0067	ATP + CO2 + H2O + PYR  -> ADP + OA + PI 	OAory_01029250 or OAory_01042460 or OAory_01097980	  0.00	1000.00	  0.00
r0070	ATPm + COAm + PROPm  -> AMPm + PPIm + PROPCOAm 	OAory_01094830	  0.00	1000.00	  0.00
r0071	ACPC + H2O  -> OBUT + NH3 	OAory_01017400	  0.00	1000.00	  0.00
r0072	OBUTm + LIPENZm  -> CO2m + PLIPENZm 	OAory_01004070 or OAory_01057660	  0.00	1000.00	  0.00
r0073	COAm + PLIPENZm  -> DLIPENZm + PROPCOAm 	OAory_01004070 or OAory_01101940	  0.00	1000.00	  0.00
r0074	H2Om + OAm + PROPCOAm  -> 2MCITm + COAm 	OAory_01048980 or OAory_01081610	  0.00	1000.00	  0.00
r0075	2MACOm + H2Om  <=> 2MCITm 	OAory_01015820 or OAory_01035910 or OAory_01039490	-1000.00	1000.00	  0.00
r0076	MICITm  <=> PYRm + SUCCm 	OAory_01051780 or OAory_01070660	-1000.00	1000.00	  0.00
r0079	MICITm  <=> 2MACOm + H2Om 	OAory_01051780 or OAory_01070660	-1000.00	1000.00	  0.00
r0080	ACTAC + ATP + COA  -> AACCOA + AMP + PPI 	OAory_01105380	  0.00	1000.00	  0.00
r0081	C4HCOAm + NADPm  <=> AACCOAm + NADPHm 	OAory_01022230	-1000.00	1000.00	  0.00
r0082	H2Om + NADm + SUCCSALm  -> NADHm + SUCCm 	OAory_01002380 or OAory_01028820 or OAory_01052410 or OAory_01100250	  0.00	1000.00	  0.00
r0083	H2Om + NADPm + SUCCSALm  -> NADPHm + SUCCm 	OAory_01002380 or OAory_01028820 or OAory_01052410 or OAory_01100250	  0.00	1000.00	  0.00
